image,codec,param,bpp,psnr,ssim,encode_s,decode_s
camera_128,fractal,30,0.7578125,40.895485823360914,0.9904332013566233,0.7310850620269775,0.002274751663208008
camera_128,fractal_entropy,30,0.6591796875,40.895485823360914,0.9904332013566233,0.7310850620269775,0.002274751663208008
camera_128,fractal,60,0.4775390625,40.7694580912401,0.9894317157759734,0.7229881286621094,0.001497030258178711
camera_128,fractal_entropy,60,0.4267578125,40.7694580912401,0.9894317157759734,0.7229881286621094,0.001497030258178711
camera_128,fractal,100,0.3974609375,40.66827451053247,0.9886419174187264,0.7226941585540771,0.0012140274047851562
camera_128,fractal_entropy,100,0.3583984375,40.66827451053247,0.9886419174187264,0.7226941585540771,0.0012140274047851562
camera_128,fractal,150,0.29736328125,40.58623474175175,0.9885223227949824,0.7264268398284912,0.0010361671447753906
camera_128,fractal_entropy,150,0.27392578125,40.58623474175175,0.9885223227949824,0.7264268398284912,0.0010361671447753906
camera_128,fractal,250,0.17724609375,40.58090233170754,0.9894132063897106,0.7207961082458496,0.0005321502685546875
camera_128,fractal_entropy,250,0.17138671875,40.58090233170754,0.9894132063897106,0.7207961082458496,0.0005321502685546875
camera_128,fractal,400,0.1572265625,40.571889726611914,0.9894963935456442,0.7236411571502686,0.00048613548278808594
camera_128,fractal_entropy,400,0.15380859375,40.571889726611914,0.9894963935456442,0.7236411571502686,0.00048613548278808594
camera_128,fractal,700,0.13720703125,40.287185406349415,0.9891750358762215,0.7229259014129639,0.0004169940948486328
camera_128,fractal_entropy,700,0.1357421875,40.287185406349415,0.9891750358762215,0.7229259014129639,0.0004169940948486328
camera_128,jpeg,10,0.26416015625,37.88346027325904,0.9652108347044142,,
camera_128,jpeg,20,0.26708984375,42.58019582947417,0.9808127463378397,,
camera_128,jpeg,30,0.2734375,44.2744267242768,0.9837467845724361,,
camera_128,jpeg,40,0.27783203125,45.54787721191631,0.9867165889600851,,
camera_128,jpeg,50,0.28076171875,46.78242204650857,0.9892707668247114,,
camera_128,jpeg,60,0.2890625,47.42821468921976,0.9897281281347411,,
camera_128,jpeg,70,0.3046875,48.83767477024954,0.9915356531269269,,
camera_128,jpeg,80,0.33349609375,49.83588133062393,0.9925889475613366,,
camera_128,jpeg,90,0.45849609375,51.677617339665,0.9935484083594558,,
coins_128,fractal,30,3.70068359375,31.43593328063754,0.9347058089162456,0.7278158664703369,0.011279106140136719
coins_128,fractal_entropy,30,3.275390625,31.43593328063754,0.9347058089162456,0.7278158664703369,0.011279106140136719
coins_128,fractal,60,3.0302734375,31.360292111196294,0.9300927663501355,0.7299618721008301,0.00917506217956543
coins_128,fractal_entropy,60,2.697265625,31.360292111196294,0.9300927663501355,0.7299618721008301,0.00917506217956543
coins_128,fractal,100,2.6044921875,31.318459478812677,0.9260387652067749,0.7326068878173828,0.00793004035949707
coins_128,fractal_entropy,100,2.31298828125,31.318459478812677,0.9260387652067749,0.7326068878173828,0.00793004035949707
coins_128,fractal,150,2.4697265625,31.100307232383198,0.9230203917105719,0.7331299781799316,0.0074558258056640625
coins_128,fractal_entropy,150,2.2001953125,31.100307232383198,0.9230203917105719,0.7331299781799316,0.0074558258056640625
coins_128,fractal,250,2.119140625,31.09841336369573,0.917474304096014,0.7304799556732178,0.006267070770263672
coins_128,fractal_entropy,250,1.89990234375,31.09841336369573,0.917474304096014,0.7304799556732178,0.006267070770263672
coins_128,fractal,400,1.833984375,31.156929084869894,0.9111122720692983,0.7278220653533936,0.005438089370727539
coins_128,fractal_entropy,400,1.66650390625,31.156929084869894,0.9111122720692983,0.7278220653533936,0.005438089370727539
coins_128,fractal,700,1.6689453125,31.02673216171301,0.902447799449121,0.7115399837493896,0.005021333694458008
coins_128,fractal_entropy,700,1.509765625,31.02673216171301,0.902447799449121,0.7115399837493896,0.005021333694458008
coins_128,jpeg,10,0.3896484375,28.265674908310064,0.7842412361856756,,
coins_128,jpeg,20,0.51416015625,30.156669068111377,0.8505078235036189,,
coins_128,jpeg,30,0.64794921875,31.15635607134834,0.8778163048199811,,
coins_128,jpeg,40,0.71728515625,31.779543635491315,0.8921016305102859,,
coins_128,jpeg,50,0.85595703125,32.783663868923455,0.9101936136774885,,
coins_128,jpeg,60,0.89111328125,33.4078450688864,0.9190877657456428,,
coins_128,jpeg,70,1.345703125,33.82651245320743,0.9305943376399534,,
coins_128,jpeg,80,1.611328125,41.29796252112886,0.9870815281859198,,
coins_128,jpeg,90,2.01708984375,43.72525236921685,0.9915981104823048,,
